Orthogroup	lk	ln	lp	ls
OG0003820	TRINITY_GG_12980_c2_g1_i13.p1	TRINITY_GG_24408_c2_g1_i2.p1	TRINITY_GG_11289_c0_g1_i14.p1	TRINITY_GG_7679_c0_g1_i12.p1
OG0003821	TRINITY_GG_12980_c2_g1_i13.p4	TRINITY_GG_24408_c12_g2_i2.p1	TRINITY_GG_11289_c4_g1_i1.p2	TRINITY_GG_7686_c0_g1_i14.p2
OG0003822	TRINITY_GG_12980_c3_g1_i2.p1	TRINITY_GG_24408_c9_g1_i6.p1	TRINITY_GG_11289_c2_g1_i3.p1	TRINITY_GG_7685_c2_g1_i10.p1
OG0003823	TRINITY_GG_12980_c5_g1_i1.p1	TRINITY_GG_24408_c7_g1_i10.p1	TRINITY_GG_11289_c3_g1_i7.p1	TRINITY_GG_7685_c1_g1_i4.p1
OG0003824	TRINITY_GG_12982_c0_g1_i1.p1	TRINITY_GG_24408_c1_g2_i3.p1	TRINITY_GG_11290_c0_g2_i7.p1	TRINITY_GG_7676_c1_g1_i5.p1
OG0003825	TRINITY_GG_12983_c0_g1_i4.p1	TRINITY_GG_24414_c0_g3_i1.p1	TRINITY_GG_11286_c2_g1_i1.p1	TRINITY_GG_7681_c0_g1_i1.p1
OG0003826	TRINITY_GG_12984_c0_g1_i1.p1	TRINITY_GG_24408_c8_g1_i1.p1	TRINITY_GG_11287_c0_g1_i1.p1	TRINITY_GG_7683_c0_g1_i1.p1
OG0003827	TRINITY_GG_12991_c1_g1_i35.p1	TRINITY_GG_27304_c1_g1_i18.p1	TRINITY_GG_10349_c1_g1_i8.p1	TRINITY_GG_34926_c1_g1_i2.p1
OG0003828	TRINITY_GG_12992_c0_g1_i2.p1	TRINITY_GG_27303_c0_g1_i1.p1	TRINITY_GG_10349_c3_g2_i1.p1	TRINITY_GG_34926_c2_g1_i2.p1
OG0003829	TRINITY_GG_12994_c0_g2_i7.p1	TRINITY_GG_27304_c0_g1_i36.p2	TRINITY_GG_10348_c1_g2_i13.p1	TRINITY_GG_34926_c0_g1_i106.p2
OG0003830	TRINITY_GG_13005_c0_g1_i1.p1	TRINITY_GG_11785_c0_g1_i2.p1	TRINITY_GG_19445_c0_g1_i1.p1	TRINITY_GG_34406_c1_g1_i1.p1
OG0003831	TRINITY_GG_13012_c0_g1_i14.p4	TRINITY_GG_12476_c0_g1_i47.p4	TRINITY_GG_33001_c0_g1_i34.p4	TRINITY_GG_13937_c0_g1_i25.p3
OG0003832	TRINITY_GG_13012_c0_g1_i14.p1	TRINITY_GG_12476_c0_g1_i47.p1	TRINITY_GG_33001_c0_g1_i34.p1	TRINITY_GG_13937_c0_g1_i25.p1
OG0003833	TRINITY_GG_13012_c0_g1_i14.p3	TRINITY_GG_12476_c0_g1_i47.p3	TRINITY_GG_33001_c0_g1_i34.p3	TRINITY_GG_13937_c0_g1_i25.p2
OG0003834	TRINITY_GG_13012_c12_g1_i4.p1	TRINITY_GG_12478_c0_g1_i2.p1	TRINITY_GG_33010_c0_g1_i4.p1	TRINITY_GG_13940_c0_g1_i13.p1
OG0003835	TRINITY_GG_13012_c17_g2_i3.p1	TRINITY_GG_12482_c0_g1_i7.p5	TRINITY_GG_33004_c7_g1_i4.p1	TRINITY_GG_13938_c0_g2_i4.p2
OG0003836	TRINITY_GG_13012_c1_g1_i4.p1	TRINITY_GG_12476_c3_g1_i1.p1	TRINITY_GG_33001_c1_g1_i23.p1	TRINITY_GG_13937_c3_g2_i1.p1
OG0003837	TRINITY_GG_13012_c1_g2_i6.p1	TRINITY_GG_12476_c1_g1_i1.p1	TRINITY_GG_33001_c1_g1_i23.p2	TRINITY_GG_13937_c1_g1_i3.p1
OG0003838	TRINITY_GG_13023_c0_g1_i1.p1	TRINITY_GG_6177_c0_g1_i1.p1	TRINITY_GG_23421_c0_g1_i1.p1	TRINITY_GG_14936_c0_g1_i1.p1
OG0003839	TRINITY_GG_13034_c0_g1_i4.p1	TRINITY_GG_24425_c0_g1_i8.p2	TRINITY_GG_21878_c1_g1_i26.p1	TRINITY_GG_28362_c0_g1_i7.p1
OG0003840	TRINITY_GG_13034_c1_g1_i12.p1	TRINITY_GG_24425_c1_g1_i3.p1	TRINITY_GG_21878_c0_g1_i9.p1	TRINITY_GG_28362_c1_g1_i1.p1
OG0003841	TRINITY_GG_13034_c2_g1_i9.p1	TRINITY_GG_24424_c1_g1_i23.p1	TRINITY_GG_21880_c0_g1_i10.p1	TRINITY_GG_28365_c4_g1_i5.p1
OG0003843	TRINITY_GG_13034_c4_g1_i2.p1	TRINITY_GG_24425_c2_g1_i20.p1	TRINITY_GG_21878_c2_g1_i25.p1	TRINITY_GG_28362_c2_g1_i15.p1
OG0003844	TRINITY_GG_13036_c0_g1_i18.p2	TRINITY_GG_24424_c10_g1_i32.p2	TRINITY_GG_21879_c0_g1_i13.p2	TRINITY_GG_28365_c0_g3_i16.p2
OG0003845	TRINITY_GG_13036_c0_g1_i18.p1	TRINITY_GG_24424_c10_g1_i32.p1	TRINITY_GG_21879_c0_g1_i13.p1	TRINITY_GG_28365_c0_g3_i16.p1
OG0003846	TRINITY_GG_13036_c1_g1_i2.p1	TRINITY_GG_24424_c3_g1_i3.p1	TRINITY_GG_21879_c5_g1_i9.p1	TRINITY_GG_28365_c3_g1_i7.p1
OG0003847	TRINITY_GG_13037_c0_g1_i39.p2	TRINITY_GG_24424_c0_g1_i4.p2	TRINITY_GG_21879_c1_g1_i28.p1	TRINITY_GG_28365_c1_g1_i10.p1
OG0003848	TRINITY_GG_13037_c0_g1_i39.p1	TRINITY_GG_24424_c0_g1_i4.p1	TRINITY_GG_21879_c2_g1_i15.p1	TRINITY_GG_28365_c1_g1_i10.p2
OG0003849	TRINITY_GG_13039_c0_g1_i1.p1	TRINITY_GG_24424_c5_g1_i2.p1	TRINITY_GG_21879_c6_g1_i4.p1	TRINITY_GG_28365_c2_g1_i1.p1
OG0003850	TRINITY_GG_13039_c4_g1_i3.p1	TRINITY_GG_24424_c2_g1_i10.p1	TRINITY_GG_21879_c4_g1_i2.p1	TRINITY_GG_28365_c5_g2_i1.p1
OG0003851	TRINITY_GG_13039_c4_g1_i3.p2	TRINITY_GG_24424_c2_g1_i10.p2	TRINITY_GG_21879_c3_g2_i1.p1	TRINITY_GG_28365_c5_g2_i1.p2
OG0003852	TRINITY_GG_13042_c1_g1_i68.p1	TRINITY_GG_33349_c2_g1_i15.p1	TRINITY_GG_25217_c1_g1_i43.p1	TRINITY_GG_7650_c0_g1_i31.p1
OG0003853	TRINITY_GG_13042_c2_g1_i16.p1	TRINITY_GG_33349_c3_g1_i3.p2	TRINITY_GG_25217_c0_g1_i42.p1	TRINITY_GG_7650_c2_g2_i5.p1
OG0003854	TRINITY_GG_13042_c3_g1_i4.p1	TRINITY_GG_33349_c1_g1_i14.p1	TRINITY_GG_25217_c3_g1_i5.p1	TRINITY_GG_7650_c6_g2_i15.p1
OG0003855	TRINITY_GG_13042_c4_g1_i3.p1	TRINITY_GG_33349_c5_g1_i7.p1	TRINITY_GG_25217_c4_g1_i1.p1	TRINITY_GG_7650_c3_g1_i1.p1
OG0003856	TRINITY_GG_13042_c6_g1_i2.p1	TRINITY_GG_33349_c4_g1_i2.p1	TRINITY_GG_25217_c5_g1_i4.p1	TRINITY_GG_7650_c4_g1_i4.p1
OG0003857	TRINITY_GG_13060_c2_g1_i1.p1	TRINITY_GG_15148_c0_g1_i1.p1	TRINITY_GG_23077_c10_g1_i1.p1	TRINITY_GG_20574_c0_g2_i1.p1
OG0003858	TRINITY_GG_13064_c0_g1_i2.p1	TRINITY_GG_26969_c0_g1_i2.p1	TRINITY_GG_28940_c1_g1_i6.p1	TRINITY_GG_18255_c0_g1_i3.p1
OG0003859	TRINITY_GG_13065_c0_g1_i8.p1	TRINITY_GG_26969_c1_g1_i3.p1	TRINITY_GG_28940_c0_g3_i1.p1	TRINITY_GG_18255_c6_g2_i3.p1
OG0003860	TRINITY_GG_13081_c0_g1_i10.p1	TRINITY_GG_34346_c2_g2_i1.p1	TRINITY_GG_15723_c0_g1_i13.p1	TRINITY_GG_13218_c0_g1_i4.p1
OG0003861	TRINITY_GG_13083_c0_g1_i12.p1	TRINITY_GG_4139_c2_g1_i12.p1	TRINITY_GG_19327_c0_g1_i14.p1	TRINITY_GG_29651_c0_g1_i8.p1
OG0003862	TRINITY_GG_13084_c0_g1_i7.p1	TRINITY_GG_4139_c0_g1_i8.p1	TRINITY_GG_19327_c12_g1_i4.p1	TRINITY_GG_29651_c1_g1_i7.p1
OG0003863	TRINITY_GG_13085_c0_g1_i12.p1	TRINITY_GG_20751_c0_g1_i2.p1	TRINITY_GG_1743_c1_g1_i7.p3	TRINITY_GG_5027_c1_g1_i6.p1
OG0003864	TRINITY_GG_13105_c0_g1_i7.p1	TRINITY_GG_7983_c0_g1_i1.p1	TRINITY_GG_17189_c0_g1_i13.p1	TRINITY_GG_8273_c0_g1_i2.p1
OG0003865	TRINITY_GG_13120_c0_g1_i5.p1	TRINITY_GG_29392_c0_g1_i15.p1	TRINITY_GG_13074_c0_g1_i30.p1	TRINITY_GG_15043_c0_g1_i22.p2
OG0003866	TRINITY_GG_13120_c0_g1_i5.p3	TRINITY_GG_29392_c0_g1_i15.p3	TRINITY_GG_13074_c0_g1_i30.p4	TRINITY_GG_15043_c0_g1_i22.p4
OG0003868	TRINITY_GG_13130_c2_g1_i1.p1	TRINITY_GG_30530_c3_g1_i1.p1	TRINITY_GG_28709_c0_g1_i1.p1	TRINITY_GG_25226_c4_g1_i1.p1
OG0003869	TRINITY_GG_13131_c0_g1_i4.p1	TRINITY_GG_30528_c0_g1_i11.p1	TRINITY_GG_28704_c0_g1_i4.p1	TRINITY_GG_25227_c0_g1_i4.p1
OG0003870	TRINITY_GG_13134_c0_g1_i7.p1	TRINITY_GG_30159_c0_g1_i8.p1	TRINITY_GG_29921_c0_g1_i18.p1	TRINITY_GG_27021_c0_g1_i7.p1
OG0003871	TRINITY_GG_13138_c0_g1_i2.p1	TRINITY_GG_1963_c2_g1_i1.p1	TRINITY_GG_14175_c0_g1_i1.p1	TRINITY_GG_19878_c0_g1_i1.p1
OG0003872	TRINITY_GG_13184_c0_g1_i1.p1	TRINITY_GG_10872_c0_g1_i1.p1	TRINITY_GG_29029_c0_g1_i1.p1	TRINITY_GG_19679_c0_g2_i1.p1
OG0003873	TRINITY_GG_13201_c0_g3_i2.p1	TRINITY_GG_26872_c0_g1_i45.p2	TRINITY_GG_32697_c1_g1_i5.p1	TRINITY_GG_21732_c0_g1_i1.p1
OG0003874	TRINITY_GG_13201_c1_g1_i1.p1	TRINITY_GG_26873_c1_g1_i3.p1	TRINITY_GG_32694_c2_g1_i6.p1	TRINITY_GG_21730_c1_g1_i9.p1
OG0003875	TRINITY_GG_13201_c2_g1_i8.p2	TRINITY_GG_26872_c0_g1_i45.p3	TRINITY_GG_32697_c0_g1_i13.p2	TRINITY_GG_21732_c2_g1_i2.p2
OG0003876	TRINITY_GG_13201_c2_g1_i8.p1	TRINITY_GG_26872_c0_g1_i45.p1	TRINITY_GG_32697_c0_g1_i13.p1	TRINITY_GG_21732_c2_g1_i2.p1
OG0003877	TRINITY_GG_13201_c3_g1_i1.p1	TRINITY_GG_26872_c2_g1_i2.p1	TRINITY_GG_32697_c2_g1_i2.p1	TRINITY_GG_21732_c1_g1_i1.p1
OG0003878	TRINITY_GG_13201_c4_g1_i3.p1	TRINITY_GG_26873_c2_g2_i1.p1	TRINITY_GG_32694_c3_g1_i1.p1	TRINITY_GG_21730_c4_g1_i1.p1
OG0003879	TRINITY_GG_13201_c5_g1_i2.p1	TRINITY_GG_26873_c9_g1_i13.p1	TRINITY_GG_32694_c5_g1_i9.p1	TRINITY_GG_21730_c3_g1_i2.p1
OG0003880	TRINITY_GG_13204_c0_g1_i4.p1	TRINITY_GG_26872_c3_g1_i1.p2	TRINITY_GG_32697_c3_g1_i2.p1	TRINITY_GG_21732_c3_g1_i4.p1
OG0003881	TRINITY_GG_13213_c0_g1_i1.p1	TRINITY_GG_19768_c4_g1_i2.p1	TRINITY_GG_1853_c1_g2_i1.p1	TRINITY_GG_20187_c2_g1_i1.p1
OG0003882	TRINITY_GG_13214_c0_g1_i5.p1	TRINITY_GG_19768_c0_g2_i1.p1	TRINITY_GG_1849_c2_g1_i2.p1	TRINITY_GG_20187_c9_g1_i14.p1
OG0003883	TRINITY_GG_13214_c1_g1_i8.p1	TRINITY_GG_19768_c18_g1_i3.p1	TRINITY_GG_1853_c0_g1_i12.p1	TRINITY_GG_20187_c6_g1_i6.p1
OG0003884	TRINITY_GG_13214_c3_g1_i7.p1	TRINITY_GG_19768_c5_g4_i4.p1	TRINITY_GG_1849_c6_g1_i7.p1	TRINITY_GG_20187_c4_g1_i3.p1
OG0003885	TRINITY_GG_13214_c4_g2_i2.p1	TRINITY_GG_19768_c2_g1_i3.p1	TRINITY_GG_1849_c1_g1_i9.p1	TRINITY_GG_20187_c3_g1_i4.p1
OG0003886	TRINITY_GG_13214_c5_g1_i2.p1	TRINITY_GG_19768_c3_g1_i9.p1	TRINITY_GG_1849_c3_g1_i2.p1	TRINITY_GG_20187_c1_g1_i1.p1
OG0003888	TRINITY_GG_13242_c0_g1_i10.p1	TRINITY_GG_12308_c0_g1_i7.p1	TRINITY_GG_28884_c1_g1_i14.p1	TRINITY_GG_35748_c0_g1_i8.p1
OG0003889	TRINITY_GG_13242_c1_g1_i2.p3	TRINITY_GG_12308_c1_g1_i3.p4	TRINITY_GG_28884_c0_g1_i9.p3	TRINITY_GG_35748_c2_g1_i1.p4
OG0003890	TRINITY_GG_13242_c3_g1_i7.p1	TRINITY_GG_12308_c5_g1_i5.p1	TRINITY_GG_28896_c0_g1_i4.p1	TRINITY_GG_35748_c1_g1_i7.p1
OG0003891	TRINITY_GG_13244_c0_g1_i2.p1	TRINITY_GG_12322_c0_g1_i3.p1	TRINITY_GG_28893_c0_g1_i2.p1	TRINITY_GG_35751_c0_g1_i1.p1
OG0003892	TRINITY_GG_13252_c2_g1_i2.p1	TRINITY_GG_12317_c1_g1_i1.p1	TRINITY_GG_28909_c0_g1_i1.p1	TRINITY_GG_35744_c0_g1_i1.p1
OG0003893	TRINITY_GG_13254_c0_g1_i28.p1	TRINITY_GG_22948_c0_g1_i2.p1	TRINITY_GG_12500_c2_g1_i26.p1	TRINITY_GG_20956_c0_g1_i42.p1
OG0003894	TRINITY_GG_13254_c1_g1_i10.p3	TRINITY_GG_22949_c2_g1_i3.p3	TRINITY_GG_12500_c1_g1_i117.p2	TRINITY_GG_20956_c2_g1_i81.p4
OG0003895	TRINITY_GG_13254_c1_g1_i10.p1	TRINITY_GG_22949_c2_g1_i3.p1	TRINITY_GG_12500_c1_g1_i117.p1	TRINITY_GG_20956_c2_g1_i81.p1
OG0003896	TRINITY_GG_13254_c1_g1_i10.p2	TRINITY_GG_22949_c2_g1_i3.p2	TRINITY_GG_12500_c1_g1_i117.p6	TRINITY_GG_20956_c2_g1_i81.p2
OG0003897	TRINITY_GG_13254_c4_g1_i14.p1	TRINITY_GG_22949_c23_g2_i6.p3	TRINITY_GG_12500_c5_g1_i1.p1	TRINITY_GG_20956_c5_g1_i3.p3
OG0003898	TRINITY_GG_13257_c0_g1_i19.p1	TRINITY_GG_22949_c6_g1_i7.p1	TRINITY_GG_12495_c0_g1_i3.p1	TRINITY_GG_20969_c0_g1_i5.p1
OG0003899	TRINITY_GG_13257_c10_g1_i19.p1	TRINITY_GG_22949_c1_g1_i7.p1	TRINITY_GG_12505_c0_g2_i23.p1	TRINITY_GG_20958_c0_g1_i27.p1
OG0003900	TRINITY_GG_13257_c1_g1_i42.p1	TRINITY_GG_22949_c5_g1_i7.p1	TRINITY_GG_12500_c3_g1_i1.p1	TRINITY_GG_20956_c1_g1_i6.p1
OG0003901	TRINITY_GG_13257_c2_g1_i39.p1	TRINITY_GG_22949_c0_g1_i8.p1	TRINITY_GG_12503_c0_g1_i21.p1	TRINITY_GG_20960_c0_g1_i82.p1
OG0003903	TRINITY_GG_13257_c3_g1_i2.p1	TRINITY_GG_22949_c23_g1_i2.p1	TRINITY_GG_12500_c4_g1_i4.p1	TRINITY_GG_20956_c6_g1_i3.p1
OG0003904	TRINITY_GG_13257_c5_g1_i7.p1	TRINITY_GG_22949_c9_g1_i18.p1	TRINITY_GG_12503_c1_g1_i3.p1	TRINITY_GG_20960_c1_g1_i17.p1
OG0003905	TRINITY_GG_13262_c0_g1_i13.p1	TRINITY_GG_34312_c0_g1_i4.p1	TRINITY_GG_877_c0_g1_i16.p1	TRINITY_GG_20510_c0_g1_i1.p1
OG0003906	TRINITY_GG_13265_c0_g1_i3.p3	TRINITY_GG_21138_c3_g1_i2.p3	TRINITY_GG_16913_c1_g1_i15.p3	TRINITY_GG_33705_c0_g1_i5.p2
OG0003908	TRINITY_GG_13265_c1_g1_i2.p1	TRINITY_GG_21138_c0_g1_i7.p1	TRINITY_GG_16913_c0_g1_i7.p1	TRINITY_GG_33705_c1_g1_i41.p1
OG0003909	TRINITY_GG_13265_c1_g1_i2.p2	TRINITY_GG_21138_c0_g1_i7.p2	TRINITY_GG_16913_c0_g1_i7.p3	TRINITY_GG_33705_c1_g1_i41.p5
OG0003910	TRINITY_GG_13265_c2_g1_i1.p1	TRINITY_GG_21138_c4_g1_i2.p1	TRINITY_GG_16914_c0_g1_i3.p1	TRINITY_GG_33707_c0_g1_i5.p1
OG0003911	TRINITY_GG_13281_c0_g1_i14.p1	TRINITY_GG_30402_c1_g1_i4.p1	TRINITY_GG_28258_c0_g1_i3.p1	TRINITY_GG_20726_c2_g1_i2.p1
OG0003912	TRINITY_GG_13281_c2_g1_i1.p1	TRINITY_GG_30402_c5_g1_i1.p1	TRINITY_GG_28257_c0_g1_i1.p1	TRINITY_GG_20726_c24_g1_i1.p1
OG0003913	TRINITY_GG_13281_c4_g1_i2.p1	TRINITY_GG_30402_c32_g1_i1.p1	TRINITY_GG_28258_c16_g1_i1.p1	TRINITY_GG_20726_c4_g2_i1.p1
OG0003915	TRINITY_GG_13288_c1_g1_i3.p1	TRINITY_GG_14370_c0_g1_i24.p1	TRINITY_GG_11667_c1_g1_i5.p1	TRINITY_GG_31021_c2_g2_i3.p1
OG0003917	TRINITY_GG_13291_c0_g1_i4.p1	TRINITY_GG_21721_c0_g1_i1.p1	TRINITY_GG_31660_c0_g1_i1.p1	TRINITY_GG_32825_c0_g3_i2.p1
OG0003918	TRINITY_GG_13292_c12_g1_i1.p1	TRINITY_GG_23472_c14_g1_i2.p1	TRINITY_GG_8655_c4_g1_i1.p1	TRINITY_GG_28401_c23_g4_i1.p1
OG0003920	TRINITY_GG_13292_c2_g1_i4.p1	TRINITY_GG_23472_c0_g1_i10.p1	TRINITY_GG_8655_c0_g1_i11.p1	TRINITY_GG_28401_c2_g1_i1.p1
OG0003921	TRINITY_GG_13292_c4_g1_i1.p1	TRINITY_GG_23469_c1_g1_i3.p1	TRINITY_GG_8655_c7_g1_i3.p1	TRINITY_GG_28401_c23_g3_i3.p1
OG0003922	TRINITY_GG_13292_c5_g1_i3.p1	TRINITY_GG_23472_c2_g1_i1.p1	TRINITY_GG_8655_c3_g1_i5.p1	TRINITY_GG_28401_c3_g1_i6.p1
OG0003923	TRINITY_GG_13292_c6_g1_i2.p1	TRINITY_GG_23472_c3_g1_i1.p1	TRINITY_GG_8655_c6_g1_i3.p1	TRINITY_GG_28401_c6_g2_i2.p1
OG0003924	TRINITY_GG_13297_c0_g1_i1.p1	TRINITY_GG_23469_c3_g1_i2.p1	TRINITY_GG_8657_c0_g1_i1.p1	TRINITY_GG_28401_c40_g1_i1.p1
OG0003925	TRINITY_GG_13303_c0_g1_i3.p1	TRINITY_GG_10035_c0_g1_i1.p1	TRINITY_GG_34363_c0_g1_i8.p4	TRINITY_GG_15623_c0_g1_i11.p1
OG0003926	TRINITY_GG_13305_c0_g1_i10.p1	TRINITY_GG_29912_c0_g1_i13.p2	TRINITY_GG_8145_c0_g1_i19.p1	TRINITY_GG_26236_c0_g1_i3.p1
OG0003927	TRINITY_GG_13305_c2_g1_i1.p2	TRINITY_GG_29912_c1_g1_i1.p1	TRINITY_GG_8145_c1_g1_i7.p1	TRINITY_GG_26236_c1_g1_i5.p1
OG0003928	TRINITY_GG_13307_c0_g1_i6.p2	TRINITY_GG_32332_c0_g1_i3.p2	TRINITY_GG_17875_c0_g1_i6.p1	TRINITY_GG_1349_c0_g1_i7.p2
OG0003929	TRINITY_GG_13308_c0_g1_i1.p1	TRINITY_GG_32333_c0_g1_i2.p1	TRINITY_GG_17870_c0_g2_i2.p1	TRINITY_GG_1351_c0_g1_i2.p1
OG0003930	TRINITY_GG_13311_c0_g1_i16.p1	TRINITY_GG_8393_c0_g1_i8.p1	TRINITY_GG_30102_c0_g1_i12.p1	TRINITY_GG_23078_c0_g1_i4.p1
OG0003931	TRINITY_GG_13311_c0_g1_i16.p2	TRINITY_GG_8393_c0_g1_i8.p2	TRINITY_GG_30102_c0_g1_i12.p2	TRINITY_GG_23078_c0_g1_i4.p2
OG0003932	TRINITY_GG_13314_c0_g1_i16.p1	TRINITY_GG_8390_c0_g1_i11.p1	TRINITY_GG_30105_c0_g1_i60.p2	TRINITY_GG_23081_c0_g1_i14.p1
OG0003933	TRINITY_GG_13318_c0_g1_i3.p1	TRINITY_GG_31398_c0_g1_i1.p1	TRINITY_GG_25411_c0_g1_i4.p1	TRINITY_GG_2583_c0_g1_i6.p1
OG0003934	TRINITY_GG_13318_c1_g1_i13.p1	TRINITY_GG_31398_c1_g1_i11.p1	TRINITY_GG_25415_c0_g1_i2.p1	TRINITY_GG_2582_c0_g1_i1.p1
OG0003935	TRINITY_GG_13327_c0_g2_i61.p1	TRINITY_GG_3280_c0_g1_i40.p1	TRINITY_GG_25405_c0_g1_i206.p1	TRINITY_GG_3061_c0_g1_i38.p1
OG0003936	TRINITY_GG_13327_c2_g1_i1.p1	TRINITY_GG_3280_c1_g2_i1.p1	TRINITY_GG_25405_c1_g1_i1.p1	TRINITY_GG_3061_c1_g1_i5.p1
OG0003937	TRINITY_GG_13327_c3_g1_i15.p1	TRINITY_GG_3278_c0_g2_i6.p1	TRINITY_GG_25408_c0_g1_i14.p1	TRINITY_GG_3062_c0_g1_i3.p1
OG0003938	TRINITY_GG_13335_c0_g1_i1.p1	TRINITY_GG_32621_c0_g1_i1.p1	TRINITY_GG_13712_c1_g1_i1.p1	TRINITY_GG_6552_c0_g1_i1.p1
OG0003939	TRINITY_GG_13337_c0_g1_i118.p2	TRINITY_GG_5136_c0_g2_i21.p2	TRINITY_GG_14881_c0_g1_i29.p2	TRINITY_GG_29679_c0_g1_i2.p1
OG0003940	TRINITY_GG_13337_c1_g1_i15.p1	TRINITY_GG_5136_c1_g1_i11.p1	TRINITY_GG_14881_c1_g1_i8.p1	TRINITY_GG_29679_c1_g1_i13.p1
OG0003941	TRINITY_GG_13337_c2_g1_i22.p1	TRINITY_GG_5136_c4_g1_i1.p1	TRINITY_GG_14881_c2_g1_i10.p1	TRINITY_GG_29680_c0_g1_i9.p1
OG0003942	TRINITY_GG_13357_c0_g1_i9.p1	TRINITY_GG_2488_c0_g1_i9.p1	TRINITY_GG_35747_c0_g1_i5.p1	TRINITY_GG_25266_c0_g1_i2.p1
OG0003943	TRINITY_GG_13366_c0_g1_i11.p1	TRINITY_GG_17804_c0_g1_i16.p1	TRINITY_GG_2011_c0_g1_i14.p1	TRINITY_GG_29388_c0_g2_i2.p1
OG0003944	TRINITY_GG_13366_c1_g1_i4.p1	TRINITY_GG_17804_c1_g1_i3.p1	TRINITY_GG_2011_c1_g1_i4.p1	TRINITY_GG_29388_c1_g1_i3.p1
OG0003945	TRINITY_GG_13366_c3_g2_i2.p1	TRINITY_GG_17804_c2_g2_i4.p1	TRINITY_GG_2009_c0_g1_i1.p1	TRINITY_GG_29388_c2_g2_i1.p1
OG0003946	TRINITY_GG_13371_c0_g1_i1.p1	TRINITY_GG_17146_c0_g1_i4.p1	TRINITY_GG_24815_c0_g2_i1.p1	TRINITY_GG_34318_c4_g1_i1.p1
OG0003947	TRINITY_GG_13376_c0_g1_i1.p1	TRINITY_GG_10353_c0_g1_i2.p1	TRINITY_GG_12852_c0_g1_i1.p1	TRINITY_GG_11414_c0_g1_i1.p1
OG0003948	TRINITY_GG_133_c0_g1_i1.p1	TRINITY_GG_34728_c6_g1_i1.p1	TRINITY_GG_31765_c8_g1_i1.p1	TRINITY_GG_35703_c6_g1_i1.p1
OG0003949	TRINITY_GG_13435_c0_g1_i3.p1	TRINITY_GG_11141_c2_g1_i18.p1	TRINITY_GG_17272_c3_g1_i1.p1	TRINITY_GG_12849_c1_g1_i2.p1
OG0003950	TRINITY_GG_13436_c0_g1_i148.p6	TRINITY_GG_11141_c0_g1_i34.p6	TRINITY_GG_17272_c0_g1_i87.p6	TRINITY_GG_12849_c0_g1_i5.p6
OG0003951	TRINITY_GG_13436_c0_g1_i148.p2	TRINITY_GG_11141_c0_g1_i34.p2	TRINITY_GG_17272_c0_g1_i87.p2	TRINITY_GG_12849_c0_g1_i5.p2
OG0003952	TRINITY_GG_13436_c0_g1_i148.p8	TRINITY_GG_11141_c0_g1_i34.p8	TRINITY_GG_17272_c0_g1_i87.p7	TRINITY_GG_12849_c0_g1_i5.p8
OG0003953	TRINITY_GG_13436_c0_g1_i148.p1	TRINITY_GG_11141_c0_g1_i34.p1	TRINITY_GG_17272_c0_g1_i87.p1	TRINITY_GG_12849_c0_g1_i5.p1
OG0003954	TRINITY_GG_13436_c0_g1_i148.p3	TRINITY_GG_11141_c0_g1_i34.p3	TRINITY_GG_17272_c0_g1_i87.p4	TRINITY_GG_12849_c0_g1_i5.p3
OG0003955	TRINITY_GG_13436_c1_g1_i13.p1	TRINITY_GG_11141_c3_g1_i4.p1	TRINITY_GG_17272_c1_g1_i23.p1	TRINITY_GG_12849_c4_g2_i1.p1
OG0003956	TRINITY_GG_13436_c1_g1_i13.p2	TRINITY_GG_11141_c1_g1_i2.p1	TRINITY_GG_17272_c2_g1_i3.p1	TRINITY_GG_12849_c2_g1_i2.p1
OG0003957	TRINITY_GG_13444_c0_g1_i1.p1	TRINITY_GG_8802_c0_g1_i1.p1	TRINITY_GG_32618_c0_g1_i1.p1	TRINITY_GG_6164_c1_g1_i1.p1
OG0003958	TRINITY_GG_13445_c0_g1_i1.p1	TRINITY_GG_11103_c0_g1_i1.p1	TRINITY_GG_19390_c0_g2_i1.p1	TRINITY_GG_13899_c0_g1_i2.p1
OG0003959	TRINITY_GG_13448_c0_g1_i6.p1	TRINITY_GG_28788_c0_g1_i2.p2	TRINITY_GG_17779_c1_g1_i8.p2	TRINITY_GG_608_c0_g1_i8.p1
OG0003960	TRINITY_GG_13448_c2_g1_i3.p1	TRINITY_GG_28788_c0_g1_i2.p1	TRINITY_GG_17779_c1_g1_i8.p1	TRINITY_GG_608_c1_g1_i4.p1
OG0003961	TRINITY_GG_13451_c1_g1_i3.p1	TRINITY_GG_19708_c5_g2_i2.p1	TRINITY_GG_26246_c3_g1_i1.p1	TRINITY_GG_30484_c3_g1_i2.p1
OG0003962	TRINITY_GG_13454_c0_g1_i7.p1	TRINITY_GG_19708_c0_g1_i9.p1	TRINITY_GG_26246_c1_g1_i4.p1	TRINITY_GG_30484_c1_g1_i14.p1
OG0003963	TRINITY_GG_13459_c0_g1_i8.p1	TRINITY_GG_27931_c2_g1_i3.p1	TRINITY_GG_1609_c2_g1_i14.p1	TRINITY_GG_25867_c0_g1_i26.p1
OG0003964	TRINITY_GG_13459_c1_g1_i12.p2	TRINITY_GG_27931_c1_g1_i23.p1	TRINITY_GG_1609_c0_g1_i36.p1	TRINITY_GG_25867_c2_g1_i4.p1
